time ,strain(micro),F
1.12E-04,2546.526661,-0.517071331
0.0001128,2545.971621,-0.516515904
1.13E-04,2545.420785,-0.515890864
0.0001136,2544.874635,-0.515196599
1.14E-04,2544.333645,-0.514433545
0.0001144,2543.798284,-0.513602183
1.15E-04,2543.26901,-0.512703042
0.0001152,2542.746271,-0.511736699
1.16E-04,2542.230509,-0.510703774
0.000116,2541.722155,-0.509604937
1.16E-04,2541.22163,-0.508440903
0.0001168,2540.729344,-0.507212431
1.17E-04,2540.245698,-0.505920329
0.0001176,2539.77108,-0.504565446
1.18E-04,2539.305869,-0.503148679
0.0001184,2538.850432,-0.501670968
1.19E-04,2538.405123,-0.500133295
0.0001192,2537.970284,-0.498536687
1.20E-04,2537.546247,-0.496882214
0.00012,2537.133328,-0.495170985
1.20E-04,2536.731833,-0.493404153
0.0001208,2536.342053,-0.491582909
1.21E-04,2535.964267,-0.489708485
0.0001216,2535.59874,-0.487782151
1.22E-04,2535.245723,-0.485805215
0.0001224,2534.905454,-0.483779021
1.23E-04,2534.578156,-0.481704951
0.0001232,2534.26404,-0.479584419
1.24E-04,2533.963299,-0.477418876
0.000124,2533.676115,-0.475209802
1.24E-04,2533.402653,-0.472958711
0.0001248,2533.143066,-0.470667147
1.25E-04,2532.89749,-0.468336684
0.0001256,2532.666047,-0.465968921
1.26E-04,2532.448845,-0.463565487
0.0001264,2532.245976,-0.461128034
1.27E-04,2532.057517,-0.458658239
0.0001272,2531.883531,-0.456157802
1.28E-04,2531.724066,-0.453628443
0.000128,2531.579154,-0.451071902
1.28E-04,2531.448814,-0.448489938
0.0001288,2531.333048,-0.445884327
1.29E-04,2531.231844,-0.443256857
0.0001296,2531.145176,-0.440609335
1.30E-04,2531.073004,-0.437943576
0.0001304,2531.01527,-0.435261407
1.31E-04,2530.971905,-0.432564664
0.0001312,2530.942824,-0.429855192
1.32E-04,2530.927928,-0.427134839
0.000132,2530.927105,-0.424405458
1.32E-04,2530.940227,-0.421668906
0.0001328,2530.967154,-0.41892704
1.33E-04,2531.007731,-0.416181717
0.0001336,2531.06179,-0.413434789
1.34E-04,2531.129151,-0.410688108
0.0001344,2531.20962,-0.407943518
1.35E-04,2531.302989,-0.405202857
0.0001352,2531.409038,-0.402467952
1.36E-04,2531.527537,-0.399740623
0.000136,2531.658241,-0.397022675
1.36E-04,2531.800894,-0.394315901
0.0001368,2531.955228,-0.391622079
1.37E-04,2532.120965,-0.388942969
0.0001376,2532.297815,-0.386280314
1.38E-04,2532.485478,-0.383635838
0.0001384,2532.683642,-0.381011241
1.39E-04,2532.891986,-0.378408203
0.0001392,2533.11018,-0.375828379
1.40E-04,2533.337882,-0.373273398
0.00014,2533.574743,-0.370744864
1.40E-04,2533.820405,-0.368244351
0.0001408,2534.0745,-0.365773403
1.41E-04,2534.336654,-0.363333536
0.0001416,2534.606484,-0.360926232
1.42E-04,2534.8836,-0.35855294
0.0001424,2535.167604,-0.356215075
1.43E-04,2535.458092,-0.353914016
0.0001432,2535.754655,-0.351651106
1.44E-04,2536.056875,-0.349427651
0.000144,2536.364332,-0.347244917
